nss_subject,faculty,mean_coursework_pct,mean_written_exam_pct,mean_class_size,assessment_style,nss_academic_support,nss_assessment_feedback,nss_free_expression,nss_learning_opps,nss_learning_resources,nss_organisation,nss_student_voice,nss_teaching
"General, applied and forensic sciences",ESE,60.96,20.88,37.6,Mixed,94.3825,94.39477611940298,77.75555555555556,95.82916666666668,93.62611464968153,96.28148148148148,82.80191082802547,97.225
Business and management,ESE,87.68304399123545,8.334569357829093,92.86427187514812,Coursework-heavy,78.86353021978023,81.7810003732736,84.8,81.72291180587962,87.76341247789847,86.48211464324085,74.12965360958239,84.4
Mathematical sciences,ESE,36.27659574468085,58.51063829787234,116.8913043478261,Exam-heavy,78.2818422956354,80.9276559139785,78.37580893682588,82.65404530744335,85.88673799452602,86.74860294117646,69.2917780061665,87.6945278969957
"Geography, earth and environmental studies",ESE,85.47945205479452,13.97260273972603,82.34722222222223,Coursework-heavy,80.15279255319147,79.87392344497607,82.5,86.83463112708395,92.78644253109196,86.90811907983762,72.23403199117483,89.54547721152886
Engineering,ESE,63.20693709582599,32.38955298626081,65.3982657260435,Mixed,74.55292652552926,79.29164179104478,82.05675675675674,82.42847805788983,85.6232233502538,81.75569620253165,61.019189189189184,80.1311797752809
Physics and astronomy,ESE,34.71153846153846,42.88461538461539,59.54,Mixed,90.36075949367088,79.20318664643399,87.51249999999999,90.45687022900763,87.71153846153847,91.34427480916032,78.85248041775456,94.3996138996139
Economics,ESE,33.476190476190474,61.92063492063492,187.17543859649123,Exam-heavy,74.62570611778158,78.11292832764505,84.8,83.12654020336666,90.99171721885207,88.8404405701496,72.65309142993556,87.73543091655266
Languages and area studies,HASS,60.94117647058823,30.705882352941178,29.036585365853657,Mixed,84.11558245083208,76.7991847826087,83.6,84.94835787089467,90.09606918238994,82.98519685039369,67.0874193548387,91.40566251415628
Computing,ESE,50.47619047619048,41.90476190476191,30.714285714285715,Mixed,69.30488095238096,76.64730957372467,72.45147058823531,81.43266550522648,88.65647348951913,81.23474576271185,72.9299872935197,82.40252613240419
Performing arts,HASS,86.33333333333333,0.0,37.56666666666667,Coursework-heavy,81.2,76.13989071038252,78.2,83.175,89.64924012158055,84.09532710280374,64.61770186335403,95.0
"Sociology, social policy and anthropology",HASS,88.6027054499961,9.961164542445331,40.90268329554044,Coursework-heavy,79.44576271186439,76.07633587786259,72.7,84.825,93.01444201312913,87.96520787746171,66.74799107142857,90.77559429477022
Psychology,HLS,54.80620155038759,23.083770942735683,71.82313627472288,Mixed,75.03760129659643,74.94245647969052,80.0334975369458,83.87874396135267,89.6621487603306,86.85553732567678,74.58953974895398,90.28502415458937
Biosciences,ESE,70.54285714285714,21.128571428571423,98.44285714285714,Coursework-heavy,79.40238198354267,74.9273812613548,74.32727272727273,80.68820969208782,87.48382326899238,80.68633733867378,66.8596557288865,87.26202153886076
Philosophy and religious studies,HASS,83.46724103386094,13.74240299205236,39.546701974000975,Coursework-heavy,82.99166666666667,74.32,83.6,80.6220515137822,91.63383742911154,87.49183027232425,74.83615635179152,91.51424694708275
History and archaeology,HASS,78.60600662029209,4.482450626881471,36.34495656370656,Coursework-heavy,84.59446437724243,73.74837423312884,79.2,82.27498084291189,88.35627615062762,84.59610935856992,65.22666311868015,91.87464572960552
English studies,HASS,86.25,9.083333333333334,61.91379310344828,Coursework-heavy,83.7,73.22,79.7,82.325,90.52679324894514,85.157310565635,71.23540106951873,92.225
"Media, journalism and communications",HASS,95.12820512820512,0.0,46.64102564102564,Coursework-heavy,81.43333333333334,72.06607369758576,78.3,82.1,86.54434968017058,78.98528138528138,68.14563318777293,84.95
Politics,HASS,79.86868686868686,16.161616161616163,79.5360824742268,Coursework-heavy,75.58081164534627,71.32000000000001,77.79999999999998,80.17292653375922,89.95193302891933,82.8983105513746,58.627283912642255,88.25
Law,HASS,63.05263157894737,33.305263157894736,133.62637362637363,Mixed,74.21390194761585,69.62,78.0,76.33062080536914,85.4104107406986,83.46587802917192,57.63773364485981,85.95
