dept_code,nss_subject
BEE,Economics
BEM,Business and management
BEA,Business and management
BEF,Business and management
BEP,Business and management
ECM,Computing
ECM,Engineering
ENG,Engineering
MTH,Mathematical sciences
PHY,Physics and astronomy
GEO,"Geography, earth and environmental studies"
BIO,Biosciences
NSC,"General, applied and forensic sciences"
PSY,Psychology
PYC,Psychology
SHS,Sport and exercise sciences
MED,Medicine and dentistry
MDC,Medicine and dentistry
NUR,Nursing and midwifery
EAS,English studies
EAF,"Media, journalism and communications"
HIH,History and archaeology
ARC,History and archaeology
POL,Politics
SOC,"Sociology, social policy and anthropology"
SPA,"Sociology, social policy and anthropology"
ANT,"Sociology, social policy and anthropology"
LAW,Law
PHL,Philosophy and religious studies
THE,Philosophy and religious studies
CLA,Languages and area studies
MLF,Languages and area studies
MLG,Languages and area studies
MLS,Languages and area studies
MLI,Languages and area studies
DRA,Performing arts
